product,weight,weight_unit,gift_unit,sell_unit,price,link
13087,1,개,30,5,100000,https://smartstore.naver.com/lepote/products/5576491841
13088,1,개,30,5,100000,https://smartstore.naver.com/lepote/products/5326376763
12841,1,개,30,1,59000,https://www.mepet.co.kr/product/detail.html?product_no=12&cate_no=29&display_group=1
12842,1,개,30,1,59000,https://www.mepet.co.kr/product/detail.html?product_no=10&cate_no=29&display_group=1
12843,1,개,30,1,59000,https://www.mepet.co.kr/product/detail.html?product_no=13&cate_no=29&display_group=1
12844,1,개,30,1,59000,https://www.mepet.co.kr/product/detail.html?product_no=11&cate_no=29&display_group=1
12845,1,개,30,1,59000,https://www.mepet.co.kr/product/detail.html?product_no=28&cate_no=29&display_group=1
12846,1,개,20,1,31000,https://www.mepet.co.kr/product/detail.html?product_no=34&cate_no=81&display_group=1
12847,1,개,20,1,31000,https://www.mepet.co.kr/product/detail.html?product_no=35&cate_no=81&display_group=1
12861,1,개,20,1,31000,https://www.mepet.co.kr/product/detail.html?product_no=22&cate_no=81&display_group=1
12862,1,개,3,1,35000,https://www.mepet.co.kr/product/detail.html?product_no=38&cate_no=81&display_group=1
13099,1,포,30,1,59000,https://www.mepet.co.kr/product/detail.html?board_no=6&product_no=86&cate_no=105&display_group=1&keyword=
13100,1,포,30,1,59000,https://www.mepet.co.kr/product/detail.html?board_no=6&product_no=86&cate_no=105&display_group=1&keyword=
13101,1,포,30,1,59000,https://mepet.co.kr/product/detail.html?product_no=89&cate_no=105&display_group=1#prdQnA
13102,1,포,30,1,59000,https://www.mepet.co.kr/product/detail.html?board_no=6&product_no=86&cate_no=105&display_group=1&keyword=
13103,1,포,30,1,59000,https://mepet.co.kr/product/detail.html?product_no=88&cate_no=105&display_group=1
12878,1,포,30,1,59000,https://mepet.co.kr/product/detail.html?product_no=88&cate_no=105&display_group=1
12880,1,포,30,1,59000,https://mepet.co.kr/product/detail.html?product_no=90&cate_no=105&display_group=1
12906,1,포,30,1,59000,https://mepet.co.kr/product/detail.html?product_no=90&cate_no=105&display_group=1
