product,attribute,pet_type,pet_weight_min,pet_weight_max,weight_unit,min_amount,max_amount,per_unit,day_exception,time_per_day_min,time_per_day_max
13087,일반적인 경우,1,0.0,10.0,kg,1.0,1.0,1,,1,1
13087,일반적인 경우,1,10.0,1000,kg,2.0,2.0,1,,1,1
13088,일반적인 경우,1,0.0,10.0,kg,1.0,1.0,1,,1,1
13088,일반적인 경우,1,10.0,1000,kg,2.0,2.0,1,,1,1
12841,일반적인 경우,1,0.0,5.0,kg,1.0,1.0,1,,1,1
12841,일반적인 경우,1,5.0,10.0,kg,2.0,2.0,1,,1,1
12841,일반적인 경우,1,10.0,1000,kg,3.0,3.0,1,,1,1
12842,일반적인 경우,1,0.0,5.0,kg,1.0,1.0,1,,1,1
12842,일반적인 경우,1,5.0,10.0,kg,2.0,2.0,1,,1,1
12842,일반적인 경우,1,10.0,1000,kg,3.0,3.0,1,,1,1
12843,일반적인 경우,1,0.0,5.0,kg,1.0,1.0,1,,1,1
12843,일반적인 경우,1,5.0,10.0,kg,2.0,2.0,1,,1,1
12843,일반적인 경우,1,10.0,1000,kg,3.0,3.0,1,,1,1
12844,일반적인 경우,1,0.0,5.0,kg,1.0,1.0,1,,1,1
12844,일반적인 경우,1,5.0,10.0,kg,2.0,2.0,1,,1,1
12844,일반적인 경우,1,10.0,1000,kg,3.0,3.0,1,,1,1
12845,일반적인 경우,1,0.0,5.0,kg,1.0,1.0,1,,1,1
12845,일반적인 경우,1,5.0,10.0,kg,2.0,2.0,1,,1,1
12845,일반적인 경우,1,10.0,1000,kg,3.0,3.0,1,,1,1
12846,일반적인 경우,1,0.0,10.0,kg,0.0,2.0,1,,1,1
12846,일반적인 경우,1,10.0,1000,kg,0.0,6.0,1,,1,1
12847,일반적인 경우,1,0.0,10.0,kg,0.0,2.0,1,,1,1
12847,일반적인 경우,1,10.0,1000,kg,0.0,6.0,1,,1,1
12861,일반적인 경우,1,0.0,10.0,kg,0.0,2.0,1,,1,1
12861,일반적인 경우,1,10.0,1000,kg,0.0,6.0,1,,1,1
12862,일반적인 경우,1,0.0,25.0,kg,0.5,1.0,1,,1,1
12862,일반적인 경우,1,25.0,1000,kg,1.0,1.5,1,,1,1
13099,일반적인 경우,2,0,1000,kg,1.0,3.0,1,,1,1
13100,일반적인 경우,2,0,1000,kg,1.0,3.0,1,,1,1
13101,일반적인 경우,2,0,1000,kg,1.0,3.0,1,,1,1
13102,일반적인 경우,2,0,1000,kg,1.0,3.0,1,,1,1
13103,일반적인 경우,2,0,1000,kg,1.0,3.0,1,,1,1
12878,일반적인 경우,2,0,1000,kg,1.0,3.0,1,,1,1
12880,일반적인 경우,2,0,1000,kg,1.0,3.0,1,,1,1
12906,일반적인 경우,2,0,1000,kg,1.0,3.0,1,,1,1
