product,weight,weight_unit,gift_unit,sell_unit,price,link
9977,250,g,1,1,5200,https://smartstore.naver.com/gollabayage/products/5626920645?NaPm=ct%3Dkt44mjuw%7Cci%3Da9dc65e970e06d6690551e9a3075eca8bc550a26%7Ctr%3Dslsl%7Csn%3D3644970%7Chk%3D89d4febc257f8638a1735e12f9cdb1164ea49bfb
9311,1.36,kg,1,1,11000,https://smartstore.naver.com/mupet/products/5588430302?NaPm=ct%3Dkt44qlow%7Cci%3D1a692d99c1ffe540801d396e51492782d92d82a7%7Ctr%3Dslct%7Csn%3D728191%7Chk%3D54773e27e023f41422ee8f2c8b3e111450710de5
9311,2.72,kg,1,1,22000,https://smartstore.naver.com/mupet/products/5588432395?NaPm=ct%3Dkt44r2o0%7Cci%3De623a1d2602d46090544f8c85e9edc47b4217b2e%7Ctr%3Dslct%7Csn%3D728191%7Chk%3D38ea34d8ce188c583d2eb57a7f63166c0898eedd
9311,5.44,kg,1,1,52560,https://smartstore.naver.com/all-pet-fam/products/5717577160?NaPm=ct%3Dkt44uaeo%7Cci%3Ddcfe6c2d5e5fd0d89fef011829142abc7a2a1583%7Ctr%3Dslct%7Csn%3D726228%7Chk%3D70282044a41ef2ab8ef2a1bf93e5c30e943b4fa2
9311,9.98,kg,1,1,79150,https://smartstore.naver.com/creeeam/products/5519213218?NaPm=ct%3Dkt44v3q8%7Cci%3D476377480a79d6db5ed5f9cfd841a0381a4fce4c%7Ctr%3Dslct%7Csn%3D1249936%7Chk%3Dce796b6798a2a0ffd0367811af69e9b1eda945a5
9923,800,g,1,1,7630,https://smartstore.naver.com/pspet/products/5090469768?NaPm=ct%3Dkt454rq0%7Cci%3De3f7f0b0a2f34b5dbcaa8ef6e378de6cd1472304%7Ctr%3Dslct%7Csn%3D1731117%7Chk%3D618506cfd979871d02364480027c1f6895848247
9922,800,g,1,1,6310,https://smartstore.naver.com/pspet/products/5090464679?NaPm=ct%3Dkt4557xc%7Cci%3D950555acc3e92476d76fce2cd3611907af23c532%7Ctr%3Dslct%7Csn%3D1731117%7Chk%3D724f84df901ec093cc402632fe5fc7e39009abf4
9340,120,ml,1,1,5490,http://item.gmarket.co.kr/DetailView/Item.asp?goodscode=2183998558&GoodsSale=Y&jaehuid=200001169&NaPm=ct%3Dkt4571ig%7Cci%3D1dd42fb9a3905a0b544cfafc9bfab0a3c11867f0%7Ctr%3Dslct%7Csn%3D24%7Chk%3D392132e0cbd1958b69b485c87b9135312adea6ca
9237,1,kg,1,1,18000,https://smartstore.naver.com/supermonster/products/4835425026?NaPm=ct%3Dkt459lc0%7Cci%3Dbb3b6505a79beb6c30ac30dd87ebffdca8929895%7Ctr%3Dslbrc%7Csn%3D786162%7Chk%3D180b557c1328036ebe99d3ad8b6409a21c958a9c
9237,1.6,kg,1,1,30380,https://www.11st.co.kr/products/3210564838?NaPm=ct=kt45aenk|ci=6219fcbee159fb63d3137608ab0745a4c980f380|tr=slbrc|sn=17703|hk=156232154b231ca49b101fa06e58fe2ea5e61061&utm_term=&utm_campaign=%B3%D7%C0%CC%B9%F6pc_%B0%A1%B0%DD%BA%F1%B1%B3%B1%E2%BA%BB&utm_source=%B3%D7%C0%CC%B9%F6_PC_PCS&utm_medium=%B0%A1%B0%DD%BA%F1%B1%B3
9237,5.8,kg,1,1,7500,https://brand.naver.com/harimpetfood/products/4884940664?NaPm=ct%3Dkt45amdc%7Cci%3Dfd9acc456b7e947fbd4ed04a7949d69aef44f3c0%7Ctr%3Dslbrc%7Csn%3D517081%7Chk%3D06e1774b26690fd52198f7d0bd5bea28926887e5
9772,400,g,1,1,1750,https://www.catpang.com/shop/goods/goods_view.php?viewCode=P000004762&inflow=naver&NaPm=ct%3Dkt45dn60%7Cci%3D26fe585a164cf43dcd7c618b2a28e5a4bb15f581%7Ctr%3Dslsl%7Csn%3D523853%7Chk%3De94df76227d8c85debbf5c02116ad717ac421637
9880,400,g,1,1,3950,https://smartstore.naver.com/snowpet/products/5516104722?NaPm=ct%3Dkt45g34o%7Cci%3Dfe2a3b475e72ae945c30dc2534a7dc0e6f1b00a5%7Ctr%3Dslct%7Csn%3D227146%7Chk%3D2daad0ab21c63bc61a291f14a55731269175b8ce
9318,2.4,kg,1,1,47500,https://smartstore.naver.com/thefirstfeed/products/5114705450?NaPm=ct%3Dkt45mo0g%7Cci%3Df1dea6c3ee8cb403e9ab78922de3820761df4f2f%7Ctr%3Dslbrc%7Csn%3D570965%7Chk%3Da835db307004d8319957feb50f2d294fd20049e0
9213,160,g,1,1,1200,https://smartstore.naver.com/lottemartpetgarden/products/5645700711?NaPm=ct%3Dkt45jwh4%7Cci%3D91fc36113eee688619904bd4106437cde2e81215%7Ctr%3Dslsl%7Csn%3D3826291%7Chk%3D433e6f45da3c3e2cd6757e7b042e7bb57a8c6c6d
9222,2,kg,1,1,6090,https://smartstore.naver.com/nazibsa/products/5776567942?NaPm=ct%3Dkt45qzvk%7Cci%3Dbcc5c707e880b8e745c1ea2cd22ba9e4d0701d33%7Ctr%3Dslbrc%7Csn%3D2068619%7Chk%3D07d5d26e1b5c5f13cf932c84dd9c170d41a1935b
9222,5,kg,1,1,10500,https://front.wemakeprice.com/product/1877052918?utm_source=naver_ep&utm_medium=PRICE_af&utm_campaign=null&NaPm=ct%3Dkt45rwa8%7Cci%3Ddf51ba14d9e213cfd19b976af0716690c5c40cef%7Ctr%3Dslbrc%7Csn%3D197023%7Chk%3Dcf5dfff6ed3ac692f43887cbccfedce90a12f1bc
9222,7.5,kg,1,1,20640,https://smartstore.naver.com/likedog/products/3577893807?NaPm=ct%3Dkt45ug3s%7Cci%3D1f01c4f4ed58864f8c278939c8b6144c3f209798%7Ctr%3Dslsl%7Csn%3D466217%7Chk%3D2572ae60ed2c51595623f11f0a2256c34cd1e90b
9222,20,kg,1,1,43100,https://smartstore.naver.com/gettingmore/products/4916176614?NaPm=ct%3Dkt45woco%7Cci%3De10d83cfaca86388f8abeec2f47cabe011f8dca9%7Ctr%3Dslsl%7Csn%3D1117523%7Chk%3D1286ac078371813e583a415b1eaf8d43981ac201
